id,title
C3L-00006,0.0
C3L-00008,0.015087431
C3L-00032,0.033824616
C3L-00084,
C3L-00090,0.0
C3L-00098,0.0
C3L-00136,0.0
C3L-00137,0.049418849
C3L-00139,0.0
C3L-00143,0.0
C3L-00145,0.0
C3L-00156,0.018873801
C3L-00157,0.134807458
C3L-00161,0.0
C3L-00356,0.0
C3L-00358,0.07237302
C3L-00361,0.0
C3L-00362,0.0
C3L-00413,0.018753335
C3L-00449,0.0
C3L-00563,0.0
C3L-00586,0.0
C3L-00601,0.001126745
C3L-00605,0.0
C3L-00767,0.0
C3L-00769,0.0
C3L-00770,0.035334153
C3L-00771,0.019248281
C3L-00780,0.0
C3L-00781,0.031426484
C3L-00905,0.0
C3L-00918,0.046995801
C3L-00921,0.045033677
C3L-00932,0.0
C3L-00938,0.0
C3L-00942,0.0
C3L-00946,0.056142168
C3L-00947,0.0
C3L-00949,0.0
C3L-00961,0.0
C3L-00963,0.0
C3L-01246,0.0
C3L-01247,0.0
C3L-01248,0.0
C3L-01249,0.014757236
C3L-01252,0.002601277
C3L-01253,0.0
C3L-01256,0.005498505
C3L-01257,0.0
C3L-01275,0.129636775
C3L-01282,0.0
C3L-01284,
C3L-01304,0.0
C3L-01307,0.0
C3L-01311,0.008075333
C3L-01312,0.005250649
C3L-01744,0.030856792
C3L-01925,0.0
C3N-00151,0.019894683
C3N-00200,0.0
C3N-00321,0.0
C3N-00322,0.0
C3N-00323,0.0
C3N-00324,0.013628498
C3N-00326,0.024953588
C3N-00328,0.0
C3N-00333,0.0
C3N-00334,0.013023059
C3N-00335,0.036358248
C3N-00337,0.0
C3N-00339,0.095529589
C3N-00340,0.073013728
C3N-00377,0.109393005
C3N-00379,0.0
C3N-00383,0.0
C3N-00386,0.0
C3N-00388,0.039742974
C3N-00389,0.0
C3N-00729,0.061907521
C3N-00734,0.128791658
C3N-00743,0.0
C3N-00836,0.034636055
C3N-00847,0.0
C3N-00848,0.0
C3N-00850,0.0
C3N-00858,0.0
C3N-00866,0.0
C3N-00880,0.006719297
C3N-01001,0.071420892
C3N-01003,0.0
C3N-01211,0.01372593
C3N-01212,0.108706228
C3N-01217,0.00227769
C3N-01219,0.0
C3N-01267,0.0
C3N-01346,0.0
C3N-01349,0.01149725
C3N-01510,0.037907652
C3N-01520,0.049773167
C3N-01521,0.0
C3N-01537,0.0
C3N-01802,0.058770763
C3N-01825,0.005492839
C3N-01825_replication,
C3L-00006,
C3L-00361,
C3L-00586,
C3L-00601,
C3L-00769,
C3L-00930,
C3L-00932,
C3L-00947,
C3L-00963,
C3L-01246,
C3L-01249,
C3L-01252,
C3L-01256,
C3L-01257,
C3L-01282,
C3L-01304,
C3L-01307,
C3L-01311,
C3L-01744,
C3N-00333,
C3N-00383,
C3N-00729,
C3N-00858,
C3N-00866,
C3N-01346,
C3L-00563,
C3L-00605,
C3L-00770,
C3L-00771,
C3N-00200,
C3N-01211,
NX1,
NX2,
NX3,
NX4,
NX5,
NX6,
NX7,
NX8,
NX9,
NX10,
NX11,
NX12,
NX13,
NX14,
NX15,
NX16,
NX17,
NX18,
